Title,PoliticalParty,Description,Cost,Location,Date,AnnouncedBy,Portfolio,AnnouncementType,WhoAnnouncedType,CommitmentType,CriticalDate,ThemeType,PackageType,OfficialCosting,CostingRequired,Status,Id
Bursaries to Encourage Australian Students to Study Teaching,Australian Labor Party,"Labor has committed $45 million over five years to&nbsp;<span style=""font-size: 12pt; font-family: Helvetica, sans-serif;"">give our nation’s top achievers bursaries of up to $40,000 to encourage
the best and brightest Australians into teaching.</span><div><span style=""font-size: 12pt; font-family: Helvetica, sans-serif;""><br></span></div><div><span style=""font-size: 12pt; font-family: Helvetica, sans-serif;"">Year 12 students with exceptional marks and people with outstanding
achievement at university or in the workforce will compete for up to 1,000 of
the cash bonuses each year.&nbsp;</span><span style=""font-size: 12pt; font-family: Helvetica, sans-serif;""><br></span></div><div><span style=""font-size: 12pt; font-family: Helvetica, sans-serif;""><br></span></div><div><span style=""font-size: 12pt; font-family: Helvetica, sans-serif;"">The tax-free bursaries of $10,000 per year will be paid to recipients
for the duration of a teaching degree, up to a maximum of four years.&nbsp;</span><span style=""font-size: 12pt; font-family: Helvetica, sans-serif;""><br></span></div>",$45 million over 5 years,,18/02/2019,,Education and Training,Press Release,Deputy Leader,National,5,,,,,With Policy Area,13
Re-establishment of ABC Shortwave Radio to the Northern Territory,Australian Labor Party,Labor has committed $2 million to the ABC to help re-establish shortwave radio services across the Northern Territory.,$2 million,,19/11/2018,,Communications and the Arts,Press Release,Relevant Spokesperson,State,5,,,,,With Policy Area,14
Australia's First Military Covenant,Australian Labor Party,"<div>Labor has committed to establish a Military Covenant which will stand as a testament to the ongoing commitment to those who are or have served our country.</div><div><br></div><div>The covenant will be accompanied by legislation which requires the Government to report regularly on how they are best meeting their responsibilities to Australian Defence Force personnel and the ex-serving community, including mandatory reporting of health and social outcomes of veterans.</div>",,,5/09/2018,,Defence,Press Release,Leader,National,5,,,,,With Policy Area,15
Veterans' Employment Program,Australian Labor Party,"<div>Labor has committed $121.3 million over four years to address veterans’ unemployment. The four main elements to assist veterans into meaningful employment post their time in the Australian Defence Force will include:</div><div><ul><li>Translating the experience of veterans: working with the States and Territories, Universities and industry bodies for greater automatic recognition of skills.</li><li>Helping businesses to train veterans: providing grants of up to $5,000 per veteran for job specific training and conducting a national education campaign on benefits of hiring a veteran.</li><li>A new veterans’ employment service: providing comprehensive, wrap around support for up to five years.</li><li>Expanded access to additional education and civilian training:by altering the eligibility requirements and funding amounts available through the Career Training Assistance Scheme funding.</li></ul><div>This program will be funded through the Department of Defence's existing resources.</div></div>",$121.3 million over 4 years,,21/03/2018,,Defence,Press Release,Leader,National,1,,,,,With Policy Area,16
Veterans' Recovery Centre,Australian Labor Party,Labor has committed $1 million in the health and well being of veterans in the Ipswich and Somerset Region by providing funding to a Veterans Recovery Centre.,$1 million,,20/11/2018,,Health,Press Release,Relevant Spokesperson,Electorate,5,,,,,With Policy Area,17
Defence Personnel Families - Family Engagement and Support Strategy,Australian Labor Party,"<div class=""stl_01"" style=""position: absolute; white-space: nowrap; color: rgb(66, 66, 66); font-family: Helvetica, Arial, sans-serif; font-size: 140px; background-color: rgb(248, 248, 255); top: 32.5681em; left: 6em;""><br></div><div>Labor has committed to develop a Family Engagement and Support Strategy for Defence Personnel and Veterans to provide greater support to military families.</div>",,,30/06/2017,,Defence,Press Release,Leader,National,5,,,,,With Policy Area,18
Western Front Fellowship,Australian Labor Party,"<div>Labor has committed to establish the Western Front Fellowship Program, to be located at the Sir John Monash Centre in Villers-Bretonneux, France.</div><div><br></div><div>The fellowship program will offer eligible post-secondary students a four-month placement at the new Sir John Monash Centre, representing some of Australia’s most important history to visitors.</div>",,,23/04/2018,,Defence,Press Release,Leader,International,5,,,,,With Policy Area,19
Infrastructure Investment Bank,Australian Labor Party,"Labor has committed to establish a new Australian government-backed infrastructure investment bank offering concessional loans and financing for vital, nation-building infrastructure in the Pacific Islands region.&nbsp;",,,29/10/2018,,Foreign Affairs and Trade,Speech,Leader,International,5,,,,,With Policy Area,20
Preschool and Kindy Program - Program Overview,Australian Labor Party,"Labor has committed to a National Preschool and Kindy Program, which will:<div><ul><li>Guarantee every three and four year old can access 15 hours a week of affordable early childhood education.</li><li>Be available for long day care, sessional preschools and kindergartens with parents able to choose the services that best meet their needs.</li><li>Provide permanent ongoing funding for the four year old program, with the three year old component to commence in 2021.</li></ul><div><br></div><div>The Program includes a $100 million 'facilitation fund' to support the roll out of the program and $20 million for quality and safety standards.</div><div><br></div><div>The Program includes a goal of 90 per cent three year old preschool enrolment by 2023 and a commitment to work with the states and sector to build on the Early Years Learning Framework to develop a world class two-year play based program.</div></div>",$1.75 billion over the forward estimates,,4/10/2018,,Education and Training,Press Release,Leader,National,1,,,,,With Policy Area,21
Preschool and Kindy Program facilitation fund,Australian Labor Party,Labor has committed $100 million for a&nbsp; 'facilitation fund' to support the roll-out of the Preschool and Kindy Program.,$100 million over the forward estimates,,4/10/2018,,Education and Training,Press Release,Leader,National,1,,,,,With Policy Area,22
Preschool and Kindy Program Quality and Safety Standards,Australian Labor Party,Labor has committed $20 million over the forward estimates to ensure early learning centres are high quality and safe.,$20 million over the forward estimates,,4/10/2018,Leader,Education and Training,Press Release,Leader,National,1,,,,,With Policy Area,23
Public School Funding Boost,Australian Labor Party,"Labor has committed to an extra $14.1 billion to be invested in public schools over the decade to 2028-29, with $3.3 billion provided over the first three years, which equates to an extra 8250 teacher placements.<div><br></div><div>The new national plan will set clear performance goals and targets for states and territories to lift school performance.</div><div><br></div>",$14.1 billion over 10 years,,11/10/2018,,Education and Training,Press Release,Leader,National,3,,,,,With Policy Area,24
First Nation's Girls' Education Program,Australian Labor Party,"Labor has committed $19.5 million to boost to intensive in-school mentoring designed to lift school attendance, Year 12 completions, and employment rates for First Nation's Girls. This will create almost 8,000 new places in the Stars Foundation, tripling the number of girls supported each year.<div><br></div><div>The investment is to be funded from the Education Portfolio.</div>",$19.5 million,,22/11/2018,,Education and Training,Press Release,Leader,National,5,,,,,With Policy Area,25
Sexual Assault Taskforce,Australian Labor Party,"Labor has committed to establish a new independent taskforce to crack down on sexual harassment and assault at universities and residential colleges. The taskforce will be set up for a three year period, and will provide policy leadership and advice on evidence based prevention measures, track action by universities, and recommend ways responses can be strengthened.<div><br></div><div>All universities will have to publish data on sexual harassment and assault to improve transparency and better track progress.</div>",,,30/11/2018,,Education and Training,Press Release,Deputy Leader,National,5,,,,,With Policy Area,26
TAFE Package - Overview,Australian Labor Party,"<div>Labor has committed $473 million over the forward estimates and $708 million over the medium term to boost TAFE, apprenticeships and skills for Australians.<br></div><div><br></div><div>The TAFE Package will:</div><div><ul><li>waive upfront fees for 100,000 students</li><li><p>invest $100 million in modernising TAFE facilities around the country</p></li><li><p>guarantee at least two out of three government training dollars goes to TAFE</p></li><li><p>ensure one in every ten jobs on Commonwealth priority projects are filled by Australians apprentices</p></li><li><p>provide 10,000 pre-apprentice programs for young people who want to learn a trade</p></li><li><p>provide 20,000 adult apprentice programs for older workers who need to retrain.</p></li></ul><div><br></div></div>",$473 million over the forward estimates,,11/05/2018,,Education and Training,Press Release,Leader,National,3,,,,,With Policy Area,27
Waiving of Upfront Fees for Vocational Education,Australian Labor Party,"Labor has committed to waive upfront fees for 100,000 TAFE students who choose to learn the skills that Australia needs.<div><br></div><div>5 October 2018 - Labor further committed to allocate 10,000 of these fee-free TAFE placements to early education courses. In addition, at least 200 of these places are to go to Indigenous students seeking qualifications in early childhood education.</div>",,,11/05/2018,,Education and Training,Speech,Leader,National,5,,,,,With Policy Area,28
Modernising TAFE Facilities,Australian Labor Party,Labor has committed $100 million modernising TAFEs around the country.,$100 million,,11/05/2018,,Education and Training,Press Release,Leader,National,5,,,,,With Policy Area,29
"200,000 Additional University Places",Australian Labor Party,"Labor has committed almost $10 billion to uncap student places at university, which will provide an extra 200,000 places.",Almost $10 billion,,10/05/2018,,Education and Training,Press Release,Leader,National,5,,,,,,30
Household Battery Program,Australian Labor Party,"Labor has committed $140.9 million over the forward estimates (and $201.3 million over 4 years to 2022-23) to provide a $2,000 rebate for 100,000 households on incomes of less than $180,000 per year to purchase and install battery systems, as well as low-cost loans for households.",$201.3 million over four years to 2022-23,,22/11/2018,,Environment and Energy,Press Release,Leader,National,1,,,,,With Policy Area,31
Plan for More Renewable Energy and Cheaper Power - Overview,Australian Labor Party,"<div>Labor has committed to a ten year energy investment framework to deliver more renewable energy and lower power prices, including:<br></div><div><br></div><div><div><b>Doubling the original investment in the Clean Energy Finance Corporation (CEFC)</b></div><div><ul><li>Provide an additional $10 billion in capital for the CEFC over 5 years from 2019-20.</li></ul></div><div><b>Create an Independent Energy Security and Modernisation Fund</b><br></div><div><ul><li>Provide $5 billion in capital to future-proof the energy network, by building and upgrading Australia's energy transmission and distribution network.</li></ul><div><b>Implement a new Energy Productivity Agenda</b></div></div><div><ul><li>A suite of measures to help Australian businesses improve their energy efficiency and cut their power bills.</li></ul><div>Also part of the Plan for More Renewable Energy and Cheaper Power, Labor has committed $201.4 million over four years for the Household Batteries Program and $104.9 million for the Neighbourbood Renewables Program.</div></div></div>",$15.337 billion,,22/11/2018,,Environment and Energy,Press Release,Leader,National,1,,,,,With Policy Area,32
Funding for the Clean Energy Finance Corporation,Australian Labor Party,"Labor has committed $10 billion in capital for the Clean Energy Finance Corporation (CEFC) over five years from 2019-20.<div><br></div><div>This will be used to:</div><div><ul><li>support large scale generation and storage projects</li><li>support the Household Battery Program</li><li>boost investment in energy efficiency projects, commercial and community renewable energy projects, and industrial transformation.</li></ul></div>",$10 billion over 5 years from 2019-20,,22/11/2018,,Environment and Energy,Press Release,Leader,National,1,,,,,With Policy Area,33
Independent Energy Security and Modernisation Fund,Australian Labor Party,"Labor has committed to $5 billion to create an Independent Energy Security and Modernisation Fund to future proof the energy network.<div><br></div><div>The Fund will facilitate investment in:</div><div><ul><li>upgrades to existing interconnectors and building new interconnectors</li><li>new gas pipelines, upgrades and extensions to unlock new gas supplies and improve transportation</li><li>transmission links to renewable energy zones.</li></ul></div>",$5 billion,,22/11/2018,,Environment and Energy,Press Release,Leader,National,1,,,,,With Policy Area,34
A New Energy Productivity Agenda,Australian Labor Party,"Labor has committed $31 million over the forward estimates to implement a suite of measures to help Australian businesses improve their energy efficiency and cut their power bills, including:<div><ul><li>providing 1,000 grants of up to $20,000 to Australian manufacturers to help them reduce their energy</li><li>allowing the Australian Renewable Energy Agency to support a broader range of energy efficiency projects</li><li>developing new training programs for energy managers and consultants, and an accreditation system for energy auditors</li><li>improve state and territory energy efficiency initiatives through COAG.</li></ul><div>On 20 March 2019, Labor elaborated on the COAG initiatives, including:</div></div><div><ul><li>An Energy Affordability and Productivity Review, that will enhance COAG's National Energy Productivity Plan</li><li>Reforming energy efficient governance</li><li>Supporting the harmonisation of state-based Energy Efficiency Obligation schemes</li><li>Revitalising COAG's efforts to introduce a National Home Comfort Rating System</li></ul></div><div><br></div>",$31 million over the forward estimates,,22/11/2018,,Environment and Energy,Press Release,Leader,National,1,,,,,With Policy Area,35
Supporting Australia's Energy Workforce - Overview,Australian Labor Party,"<div>Labor has committed $18.5 million to support local workers as Australia’s energy mix changes, helping them to plan for the future and take advantage of the tens of thousands of jobs available in renewable energy.

Labor will implement a long-term plan to ensure workers are supported and are first in line for new job opportunities.<br></div><div><br></div><div>Labor will:&nbsp;</div><div><ul><li>Train workers in the skills they need.</li><li>Work with TAFEs, RTOs, unions, and industry, to make sure workers have the skills they need to benefit from Labor’s Plan for More Renewables and Cheaper Power.</li><li>Ensure any closures are managed to minimise community impacts.</li><li>Establish an independent Just Transition Authority to help plan for and coordinate the response to the eventual closure of coal-fired power stations in the future.</li></ul></div>",$18.5 million,,22/11/2018,,Education and Training,Press Release,Leader,National,5,,,,,With Policy Area,36
Clean Energy Training Fund,Australian Labor Party,"Labor has committed $10 million to a Clean Energy Training Fund to train workers in clean energy industries, from solar and battery installers, to energy management system professionals.",$10 million,,22/11/2018,,Education and Training,Press Release,Leader,National,5,,,,,With Policy Area,37
Establishment of an Independent Just Transition Authority,Australian Labor Party,Labor has committed $8.5 million over the forward estimates to establish an independent Just Transition Authority to help plan for and coordinate the response to the eventual closure of coal-fired power stations in the future.<div><br></div><div>Generators will also be required to provide at least three years notice of closure.</div>,$8.5 million over the forward estimates,,22/11/2018,,Environment and Energy,Press Release,Leader,National,5,,,,,With Policy Area,38
Great Barrier Reef Foundation,Australian Labor Party,"Labor has committed to requiring the Great Barrier Reef Foundation&nbsp;to return all remaining funds and interest from the $443.3 million grant they have been awarded, following the conclusion of the ANAO investigation into awarding the grant. ",,,16/01/2019,,Environment and Energy,Press Release,Relevant Spokesperson,National,5,,,,,With Policy Area,39
Kakadu National Park Improvement Package - Overview,Australian Labor Party,Labor has committed $220 million in infrastructure and community development projects to dramatically improve Kakadu National Park as a tourist destination and secure the future of the township of Jabiru.<div><br></div><div>The investment includes:</div><div><ul><li>$100 million to upgrade four key access roads in the Kakadu National Park to allow year round access.</li><li>$44 million for environmental and national park infrastructure upgrades.</li><li>$25 million for a new Kakadu visitor and world heritage interpretive centre in Jabiru.</li><li>$2.5 million to improve mobile connectivity in the Park.</li><li>$2.5 million for a new Tourism Masterplan.</li><li>$45 million to undertake urgent asbestos remediation work in Jabiru.</li><li>$1 million for a new roads strategy to improve safety.</li></ul></div>,$220 million,,13/01/2019,,Environment and Energy,Press Release,Leader,Electorate,1,,,,,With Policy Area,40
Kakadu National Park Key Access Roads Upgrade,Australian Labor Party,"Labor has committed $100 million to upgrade four key access roads in the Kakadu National Park, to allow for year-round access to key sites in Kakadu.<div><br></div><div>The roads to be upgraded are:&nbsp;</div><div><ul><li>Jim Jim Falls Access Road</li><li>Gimbat Road</li><li>Gunlom Falls Access Road</li><li>Maguk Gorge Access Road.<br></li></ul></div>",$100 million,,13/01/2019,,Environment and Energy,Press Release,Leader,Electorate,1,,,,,With Policy Area,41
Kakadu National Park Environmental and Infrastructure Upgrades,Australian Labor Party,"Labor has committed $44 million for environmental and national park infrastructure upgrades, including work to tackle invasive species, better fire management, and improved camping facilities and car parking.<div><br></div><div>Labor will provide funding to:</div><div><ul><li>upgrade existing camp sites and build new camp sites</li><li>upgrade car parks</li><li>refurbish and improve visitor amenities throughout the national park</li><li>upgrade signage to make it easier and safer for visitors to travel through the national park.</li></ul>Some of this funding will also be used for environmental management works such as traditional burning, weed control, management of feral animals, and crocodile management.<br></div>",$44 million,,13/01/2019,,Environment and Energy,Press Release,Leader,Electorate,1,,,,,With Policy Area,42
Kakadu Visitor and World Heritage Centre,Australian Labor Party,"Labor has committed $25 million for a new Kakadu visitor and world heritage interpretive centre in the Jabiru township.&nbsp;<div><br></div><div>The new visitor centre will connect to transport routes in the national park, securing Jabiru’s position as the gateway to Kakadu. 
 
It will be a World Heritage and Interpretative Centre for the park’s visitors, and also house an art store, museum store, café and function space – as well as provide for further commercial opportunities.</div>",$25 million,,13/01/2019,,Environment and Energy,Press Release,Leader,Electorate,1,,,,,With Policy Area,43
Kakadu National Park Mobile Connectivity,Australian Labor Party,"Labor has committed $2.5 million to improve mobile connectivity in the Park, for increased visitor safety and better reception for locals.&nbsp;<div><br></div><div>This investment, which will be matched by the Northern Territory Government, will improve mobile phone coverage for the region – making Kakadu a more attractive and safer destination for visitors, and improving life for residents and businesses.</div>",$2.5 million,,13/01/2019,,Environment and Energy,Press Release,Leader,Electorate,1,,,,,With Policy Area,44
Kakadu National Park Tourism Masterplan,Australian Labor Party,"Labor has committed $2.5 million for a new Tourism Masterplan to help ensure Kakadu remains a world tourism leader and continues to grow visitor numbers.&nbsp;<div><br></div><div>The masterplan will help bring all of these ideas together to ensure the best result is delivered for Kakadu.
 
As well as roads, access, park infrastructure and a healthy environment, the masterplan will also look at how to increase visitor numbers and access tourist markets in Australia and around the world.</div>",$2.5 million,,13/01/2019,,Environment and Energy,Press Release,Leader,Electorate,1,,,,,With Policy Area,45
Kakadu National Park Asbestos Remediation Work,Australian Labor Party,"Labor has committed $45 million over 10 years to undertake urgent asbestos removal and remediation work in Jabiru.&nbsp;<div><br></div><div>There is remnant asbestos in the wall sheeting of many residential and commercial properties in Jabiru, as well as in water and sewerage pipes.&nbsp;</div>",$45 million over 10 years,,13/01/2019,,Environment and Energy,Press Release,Leader,Electorate,1,,,,,With Policy Area,46
Kakadu National Park Roads Strategy,Australian Labor Party,Labor has committed $1 million for a new roads strategy to be developed to improve safety on Kakadu’s remote roads.,$1 million,,13/01/2019,,Environment and Energy,Press Release,Leader,Electorate,1,,,,,With Policy Area,47
Strengthening the Law to Protect Australia's Environment and Heritage,Australian Labor Party,Labor has committed to strengthen the law to protect Australia's environment and heritage by creating an Australian Environment Act and establish a Federal Environmental Protection Agency.,,,16/12/2018,,Environment and Energy,Press Release,Relevant Spokesperson,National,3,,,,,With Policy Area,48
FutureAsia Plan - Overview,Australian Labor Party,"<div>Labor has committed embrace a new, comprehensive and holistic policy approach to deeper Asian engagement called 'FutureAsia'.<br></div><div>Measures include:</div><div><ul><li>Collaborating with the states and territories through COAG to lift the focus on Asian languages and restore the $1.5 million funding cut from the Asian Education Foundation.</li><li>Allocating $3 million over four years to work with the Australian Institute of Company Directors on a pilot program to mentor Asian capable potential board directors.</li><li>Pursuing a diaspora program based on the United States model.</li><li>Pursuing the establishment of an Australia - ASEAN studies centre.</li><li>Asia-Pacific Finance Ministers should meet in advance of each G20 Finance Ministers meeting.</li><li>Annual meetings between Australian and Indonesian Finance and Trade Ministers in and economic and investment 2+2.&nbsp;</li><li>Support-in-principle the<strong> </strong>10 priority recommendations of Peter Varghese’s Indian Economic Strategy.</li><li>Hold annual Australia Week in India trade missions, focusing on the 10 sectors and 10 states identified in Varghese’s Indian Economic Strategy.&nbsp;</li><li>Work with the Indian Government to establish an internship program to enable young Australian professionals to gain commercial experience working in India for up to six months.</li><li>Establish a reciprocal internship program for recent business graduates with China, India and Indonesia.</li><li>Provide scholarships for those undertaking teaching courses in Asian languages.&nbsp;</li><li>Develop an independent Indonesia Economic Strategy.</li><li>Establish seven new dedicated geo-economic positions in DFAT's overseas network.&nbsp;</li><li>Expand the Australian Cultural Diplomacy Grants Program.</li><li>Develop high quality Asian language curriculum materials and establish Asia Capable Schools.&nbsp;</li></ul><div>Labor has also committed to report annually to Parliament on progress made in implementing the FutureAsia Plan.<br></div></div>",,,3/10/2018,,Foreign Affairs and Trade,Press Release,Relevant Spokesperson,International,5,,,,,With Policy Area,49
Restoration of Funding Cut from the Asian Education Foundation,Australian Labor Party,"Labor has committed $1.5 million to restore funding cut from the Asian Education Foundation, while working with the states and territories through COAG to lift the focus on Asian languages.",$1.5 million,,3/10/2018,,Education and Training,Press Release,Relevant Spokesperson,National,5,,,,,With Policy Area,50
Funding to Boost the Asian Capability of Australian Boards,Australian Labor Party,"Labor has committed $3 million to boost the Asian capability of Australian boards, working with the Australian Institute of Company Directors. Measures include a pilot program to mentor Asian capable potential board directors to facilitate more Australians with Asian business experience on boards.",$3 million,,3/10/2018,,Treasury,Press Release,Relevant Spokesperson,National,5,,,,,With Policy Area,51
Establish the Australian-ASEAN Studies Centre,Australian Labor Party,Labor has committed to establish an Australian-ASEAN Studies Centre.,,,3/10/2018,,Education and Training,Press Release,Relevant Spokesperson,National,5,,,,,With Policy Area,52
Establish an Asian Diaspora Program,Australian Labor Party,"Labor has committed to establish an Asian Diaspora program.&nbsp;<div><br></div><div>The program will include undertaking a stocktake and developing mechanisms for more authentic consultations and engagement with Asian diaspora organisations in Australia, across the governments, not for profit and private sector.</div>",,,3/10/2018,,Home Affairs,Press Release,Relevant Spokesperson,National,5,,,,,With Policy Area,53
Seek an Agreement to Establish an Internship Program with China,Australian Labor Party,Labor has committed to seek an agreement to establish an internship program with China.,,,3/10/2018,,Education and Training,Press Release,Relevant Spokesperson,National,5,,,,,With Policy Area,54
Australia Week in China,Australian Labor Party,Labor has committed to make Australia Week in China an annual event.,,,3/10/2018,,Foreign Affairs and Trade,Press Release,Relevant Spokesperson,International,5,,,,,With Policy Area,55
Establish a Team to Tackle Non-tariff Barriers to Trade,Australian Labor Party,"Labor has committed to establish a team to tackle non-tariff barriers to trade.<div><br></div><div>The Team will consist of officers from DFAT, Austrade and the Departments of Industry and Agriculture (National Platform - Ch. 2 Para 112).</div>",,,3/10/2018,,Foreign Affairs and Trade,Press Release,Relevant Spokesperson,National,5,,,,,With Policy Area,56
Asia-Pacific Finance Ministers Meetings,Australian Labor Party,Labor has committed to hold meetings of Asia-Pacific Finance Ministers in advance of the G20 Finance Ministers meeting.,,,3/10/2018,,Treasury,Press Release,Relevant Spokesperson,International,5,,,,,With Policy Area,57
Annual 2 + 2 of Australia’s and Indonesia’s Finance and Trade Ministers,Australian Labor Party,Labor has committed to holding an annual 2 + 2 of Australia's and Indonesia's Finance and Trade Ministers.,,,3/10/2018,,Foreign Affairs and Trade,Press Release,Relevant Spokesperson,International,5,,,,,With Policy Area,58
Life Education - Funding for Healthy Harold,Australian Labor Party,"Labor has committed $2 million of funding over the next five years to secure the future of the Life Education program which teaches Australian school children the importance of a healthy lifestyle, and their mascot, Health Harold.",$2 million over 5 years,,21/11/2018,,Health,Press Release,Deputy Leader,National,5,,,,,With Policy Area,59
Productivity Commission Review of the Private Health System,Australian Labor Party,"Labor has committed to order a root-and-branch Productivity Commission review of the private health system, and will impose a two per cent cap on private health insurance price rises for two years.",,,12/12/2018,,Health,Press Release,Leader,National,5,,,,,With Policy Area,60
Type 1 Diabetes Research,Australian Labor Party,"Labor has committed $50 million over five years for Type 1 diabetes clinical trials and to support researchers find a cure for Australian children living with diabetes.<div><br></div><div>Labor will extend funding for the Juvenile Diabetes Research Foundation's Clinical Research Network (CRN) which is due to expire in June 2019. Labor will extend and increase that funding for a further five years to 2024.&nbsp; 
</div><div><br></div><div>Labor’s extra funding will allow the CRN to:</div><div><ul><li>Increase the volume and impact of type 1 diabetes clinical trials.</li><li>Translate research findings into new technologies and treatments.</li><li>Support Australia's world-class type 1 diabetes researchers in their bid to find a cure.<br></li></ul></div>",$50 million over 5 years,,13/01/2019,,Health,Press Release,Leader,National,1,,,,,With Policy Area,61
Monash-Peninsula Health Futures Hub,Australian Labor Party,"Labor has committed $21 million for Phase 1 and 2 of a new Monash-Peninsula Health Futures Hub  – an innovation that aims to transform health care for the local community.&nbsp;<div><br></div><div>The Hub will be delivered through a $48 million partnership with Monash University and Peninsula Health, and will focus on designing and delivering new, better integrated models of care for some of the region’s most vulnerable people. 

This commitment will support Phases one and two of the Hub, with Phase three under consideration.</div>",$21 million,,16/01/2019,,Health,Press Release,Relevant Spokesperson,Electorate,5,,,,,With Policy Area,62
Phase 1 - Monash-Peninsula Health Futures Hub,Australian Labor Party,"Labor has committed to Phase 1 Monash-Peninsula Health Futures Hub.&nbsp;<div><br></div><div>Phase 1 includes:</div><div><ul><li>A new Health Data Platform at Frankston Hospital</li><li>New thematic research centres in addiction; rehabilitation, ageing and independent living; and mental health.</li></ul></div>",,,16/01/2019,,Health,Press Release,Relevant Spokesperson,Electorate,5,,,,,With Policy Area,63
Phase 2 - Monash-Peninsula Health Futures Hub,Australian Labor Party,Labor has committed to Phase 2 of Monash-Peninsula Health Futures Hub.&nbsp;<div><br></div><div>Phase 2 includes:&nbsp;</div><div><ul><li>Expansion to the Health Data and Implementation Platform at Frankston Hospital.</li><li>Expansion of the Academic Centre to house the Platform.</li><li>Research programs which integrate theme activities with the Health Data and Implementation Platform.</li></ul></div>,,,16/01/2019,,Health,Press Release,Relevant Spokesperson,Electorate,5,,,,,With Policy Area,64
